City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
378,papao,-17.75,-149.55,31.82,82,100,10.44,PF,1701652362
379,bheramara,24.0232,88.9925,19.91,58,100,2.85,BD,1701652363
380,luganville,-15.5333,167.1667,28.49,78,75,5.43,VU,1701652267
381,dudinka,69.4058,86.1778,-33.19,94,17,3.52,RU,1701652102
382,klyuchi,52.2667,79.1667,-8.21,77,100,9.4,RU,1701652366
383,poteau,35.0537,-94.6236,9.48,71,0,0.0,US,1701652311
384,hays,30.0502,-98.0336,17.81,44,93,0.45,US,1701652368
385,seini,47.75,23.2833,-0.14,96,75,0.0,RO,1701652369
386,idri,27.5,13.2667,14.94,21,0,4.82,LY,1701652371
387,fuglafjordur,62.244,-6.814,-2.74,69,97,5.41,FO,1701652372
388,magistral'nyy,56.1725,107.4458,-9.79,94,100,4.06,RU,1701652373
389,nema,57.5067,50.5011,-10.0,95,100,4.27,RU,1701652375
390,nha trang,12.25,109.1833,25.0,82,100,2.45,VN,1701652376
391,xining,36.6167,101.7667,-1.86,39,0,1.1,CN,1701652296
392,ponta delgada,37.7333,-25.6667,13.4,67,20,1.54,PT,1701652379
393,happy valley-goose bay,53.3168,-60.3315,-12.97,73,9,1.5,CA,1701652337
394,kassala,15.451,36.4,25.22,58,5,3.03,SD,1701652382
395,hazaribagh,23.9833,85.35,16.65,67,100,1.04,IN,1701652384
396,taltal,-25.4,-70.4833,17.92,77,11,1.43,CL,1701652221
397,timaru,-44.4,171.25,9.96,75,100,1.32,NZ,1701652386
398,qui nhon,13.7667,109.2333,25.23,89,100,3.23,VN,1701652388
399,basciftlik,40.5469,37.1692,6.18,56,100,3.32,TR,1701652389
400,zhangye,38.9342,100.4517,0.7,25,0,1.76,CN,1701652392
401,caleta de carquin,-11.0925,-77.6267,20.03,83,98,5.06,PE,1701652393
402,barra de santo antonio,-9.4047,-35.5072,25.6,89,22,4.09,BR,1701652394
403,gisborne,-38.6533,178.0042,17.37,84,100,4.98,NZ,1701652395
404,leh,34.1667,77.5833,-7.3,45,90,2.04,IN,1701652397
405,san ramon,37.7799,-121.978,15.42,80,0,2.57,US,1701652399
406,port lincoln,-34.7333,135.8667,24.8,45,0,4.09,AU,1701652400
407,ola,59.5833,151.2833,-18.94,85,67,3.3,RU,1701652402
408,muisne,0.6,-80.0333,25.29,85,91,3.54,EC,1701652404
409,puerto lempira,15.2667,-83.7667,25.37,92,16,3.8,HN,1701652405
410,sortavala,61.7053,30.6918,-15.55,99,91,1.79,RU,1701652407
411,keflavik,64.0049,-22.5624,1.24,75,100,7.72,IS,1701652409
412,gallipoli,40.4103,26.6708,12.92,90,100,4.72,TR,1701652410
413,nakhon thai,17.1006,100.8374,23.79,80,100,1.42,TH,1701652411
414,olinda,-8.0089,-34.8553,25.85,94,75,2.57,BR,1701652412
415,bria,6.5423,21.9863,22.06,82,100,1.08,CF,1701652413
416,vilyuysk,63.7553,121.6247,-48.46,100,75,0.24,RU,1701652414
417,prince rupert,54.3161,-130.3201,8.05,93,100,5.14,CA,1701652213
418,al hasakah,36.5024,40.7477,12.92,57,100,1.82,SY,1701652418
419,bardai,11.65,7.2333,19.66,26,86,1.86,NG,1701652420
420,pitimbu,-7.4706,-34.8086,27.33,83,42,4.39,BR,1701652267
421,"laikit, laikit ii (dimembe)",1.4792,124.9735,27.47,74,20,1.03,ID,1701652423
422,srandakan,-7.9386,110.2506,25.5,88,100,1.22,ID,1701652424
423,kayangel,8.0823,134.7173,26.32,88,100,11.02,PW,1701652425
424,walvis bay,-22.9575,14.5053,16.16,80,98,4.9,NA,1701652426
425,milagros,12.2181,123.5095,28.22,79,22,6.24,PH,1701652427
426,pavlovka,52.6897,47.1405,2.23,100,100,6.82,RU,1701652212
427,choibalsan,48.0667,114.5,-13.83,85,5,3.2,MN,1701652429
428,winnemucca,40.973,-117.7357,7.03,81,100,3.6,US,1701652430
429,kirkwall,58.9848,-2.9587,5.03,81,40,5.66,GB,1701652432
430,gewane,10.1664,40.6453,21.77,49,88,1.91,ET,1701652433
431,arno,60.1167,18.6333,-3.45,93,99,4.75,SE,1701652434
432,grand gaube,-20.0064,57.6608,23.54,89,92,0.45,MU,1701652435
433,griffith,41.5284,-87.4237,3.96,85,100,5.66,US,1701652436
434,karangampel,-6.4622,108.4519,27.1,79,100,1.63,ID,1701652437
435,summerside,46.3959,-63.7876,-0.3,72,100,7.24,CA,1701652439
436,margate,51.3813,1.3862,6.84,74,100,5.81,GB,1701652237
437,praia,14.9215,-23.5087,24.3,78,20,7.72,CV,1701652441
